name,district,province
Cabolafuente,Comunidad de Calatayud,Zaragoza
Calatayud,Comunidad de Calatayud,Zaragoza
Calmarza,Comunidad de Calatayud,Zaragoza
Campillo de Aragón,Comunidad de Calatayud,Zaragoza
Carenas,Comunidad de Calatayud,Zaragoza
Castejón de Alarba,Comunidad de Calatayud,Zaragoza
Castejón de las Armas,Comunidad de Calatayud,Zaragoza
Cervera de la Cañada,Comunidad de Calatayud,Zaragoza
Cetina,Comunidad de Calatayud,Zaragoza
Cimballa,Comunidad de Calatayud,Zaragoza
Clarés de Ribota,Comunidad de Calatayud,Zaragoza
Codos,Comunidad de Calatayud,Zaragoza
Contamina,Comunidad de Calatayud,Zaragoza
Embid de Ariza,Comunidad de Calatayud,Zaragoza
El Frasno,Comunidad de Calatayud,Zaragoza
Fuentes de Jiloca,Comunidad de Calatayud,Zaragoza
Godojos,Comunidad de Calatayud,Zaragoza
Ibdes,Comunidad de Calatayud,Zaragoza
Jaraba,Comunidad de Calatayud,Zaragoza
Malanquilla,Comunidad de Calatayud,Zaragoza
Maluenda,Comunidad de Calatayud,Zaragoza
Mara,Comunidad de Calatayud,Zaragoza
Miedes de Aragón,Comunidad de Calatayud,Zaragoza
Monreal de Ariza,Comunidad de Calatayud,Zaragoza
Monterde,Comunidad de Calatayud,Zaragoza
Montón,Comunidad de Calatayud,Zaragoza
Morata de Jiloca,Comunidad de Calatayud,Zaragoza
Moros,Comunidad de Calatayud,Zaragoza
Morés,Comunidad de Calatayud,Zaragoza
Munébrega,Comunidad de Calatayud,Zaragoza
Nigüella,Comunidad de Calatayud,Zaragoza
Nuévalos,Comunidad de Calatayud,Zaragoza
Olvés,Comunidad de Calatayud,Zaragoza
Orera,Comunidad de Calatayud,Zaragoza
Paracuellos de Jiloca,Comunidad de Calatayud,Zaragoza
Paracuellos de la Ribera,Comunidad de Calatayud,Zaragoza
Pozuel de Ariza,Comunidad de Calatayud,Zaragoza
Ruesca,Comunidad de Calatayud,Zaragoza
Saviñán,Comunidad de Calatayud,
Sediles,Comunidad de Calatayud,Zaragoza
Sisamón,Comunidad de Calatayud,Zaragoza
Terrer,Comunidad de Calatayud,Zaragoza
Tobed,Comunidad de Calatayud,Zaragoza
Torralba de Ribota,Comunidad de Calatayud,Zaragoza
Torrehermosa,Comunidad de Calatayud,Zaragoza
Torrelapaja,Comunidad de Calatayud,Zaragoza
Torrijo de la Cañada,Comunidad de Calatayud,Zaragoza
Valtorres,Comunidad de Calatayud,Zaragoza
Velilla de Jiloca,Comunidad de Calatayud,Zaragoza
Villafeliche,Comunidad de Calatayud,Zaragoza
Villalba de Perejil,Comunidad de Calatayud,Zaragoza
Villalengua,Comunidad de Calatayud,Zaragoza
Villarroya de la Sierra,Comunidad de Calatayud,Zaragoza
La Vilueña,Comunidad de Calatayud,Zaragoza
Alfajarín,D.C. Zaragoza,Zaragoza
Botorrita,D.C. Zaragoza,Zaragoza
El Burgo de Ebro,D.C. Zaragoza,Zaragoza
Cadrete,D.C. Zaragoza,Zaragoza
Cuarte de Huerva,D.C. Zaragoza,Zaragoza
Fuentes de Ebro,D.C. Zaragoza,Zaragoza
Jaulín,D.C. Zaragoza,Zaragoza
María de Huerva,D.C. Zaragoza,Zaragoza
Mediana de Aragón,D.C. Zaragoza,Zaragoza
Mozota,D.C. Zaragoza,Zaragoza
Nuez de Ebro,D.C. Zaragoza,Zaragoza
Osera de Ebro,D.C. Zaragoza,Zaragoza
Pastriz,D.C. Zaragoza,Zaragoza
La Puebla de Alfindén,D.C. Zaragoza,Zaragoza
San Mateo de Gállego,D.C. Zaragoza,Zaragoza
Utebo,D.C. Zaragoza,Zaragoza
Villafranca de Ebro,D.C. Zaragoza,Zaragoza
Villamayor de Gállego,D.C. Zaragoza,Zaragoza
Villanueva de Gállego,D.C. Zaragoza,Zaragoza
Zaragoza,D.C. Zaragoza,Zaragoza
Zuera,D.C. Zaragoza,Zaragoza
Alagón,Ribera Alta del Ebro,Zaragoza
Alcalá de Ebro,Ribera Alta del Ebro,Zaragoza
Boquiñeni,Ribera Alta del Ebro,Zaragoza
Bárboles,Ribera Alta del Ebro,Zaragoza
Cabañas de Ebro,Ribera Alta del Ebro,Zaragoza
Figueruelas,Ribera Alta del Ebro,Zaragoza
Gallur,Ribera Alta del Ebro,Zaragoza
Grisén,Ribera Alta del Ebro,Zaragoza
La Joyosa,Ribera Alta del Ebro,Zaragoza
Luceni,Ribera Alta del Ebro,Zaragoza
Pedrola,Ribera Alta del Ebro,Zaragoza
Pinseque,Ribera Alta del Ebro,Zaragoza
Pleitas,Ribera Alta del Ebro,Zaragoza
Pradilla de Ebro,Ribera Alta del Ebro,Zaragoza
Remolinos,Ribera Alta del Ebro,Zaragoza
Sobradiel,Ribera Alta del Ebro,Zaragoza
Torres de Berrellén,Ribera Alta del Ebro,Zaragoza
Alborge,Ribera Baja del Ebro,Zaragoza
Alforque,Ribera Baja del Ebro,Zaragoza
Cinco Olivas,Ribera Baja del Ebro,Zaragoza
Escatrón,Ribera Baja del Ebro,Zaragoza
Gelsa,Ribera Baja del Ebro,Zaragoza
Pina de Ebro,Ribera Baja del Ebro,Zaragoza
Quinto,Ribera Baja del Ebro,Zaragoza
Sástago,Ribera Baja del Ebro,Zaragoza
